FigFam	description	X188.non.day.1	X190.non.day.1	X191.non.day.1	X196.non.day.1	X197.non.day.1	X200.non.day.1	X187.carb.day.1	X189.carb.day.1	X192.carb.day.1	X194.carb.day.1	X195.carb.day.1	Pvalues	Qvalues	fold_change
FIG00000919_Thiol:disulfide_interchange_protein_DsbC_	FIG00000919	Thiol:disulfide_interchange_protein_DsbC_	1.7	0	0	7.7	0.7	13.9	0	0	2	0	0	0.093986277	0.6349159	-10
"FIG00014849_Hydrolase_(HAD_superfamily),_YqeK_"	FIG00014849	"Hydrolase_(HAD_superfamily),_YqeK_"	993.7	64.6	275.7	3309.9	129.5	1579.7	9927.1	1844	1111	428.1	1912	0.093945049	0.6349159	2.875232564
FIG00520112_FIG00520114:_hypothetical_protein_	FIG00520112	FIG00520114:_hypothetical_protein_	13.4	0	3.9	3.3	10.4	37.1	4.5	18.1	109.3	105.7	15.5	0.094312899	0.636031068	4.459911894
FIG00516198_FIG00516201:_hypothetical_protein_	FIG00516198	FIG00516201:_hypothetical_protein_	0	3.2	0	1.1	0	0	13.5	0	15.9	0	0	0.094316339	0.636031068	8.204651163
FIG01956044_binding-protein-dependent_transport_systems_inner_membrane_component_	FIG01956044	binding-protein-dependent_transport_systems_inner_membrane_component_	68.4	34.9	212.2	70.1	93.1	460.2	332.1	51.7	1158.6	181.1	675.6	0.094301457	0.636031068	3.066269038
FIG00015890_Menaquinone_via_futalosine_step_3_	FIG00015890	Menaquinone_via_futalosine_step_3_	3.4	5.3	12.5	2.2	3	172	0	2.6	8	5.4	12.4	0.09447055	0.636699749	-5.821596244
"FIG01539930_Cytoplasmic_peptidoglycan_synthetase,_N-terminal_precursor_"	FIG01539930	"Cytoplasmic_peptidoglycan_synthetase,_N-terminal_precursor_"	0	52.6	0	0	3	60.4	0	0	4	8.2	0	0.094625955	0.637375699	-7.923497268
"FIG00002944_Glycogen_biosynthesis_protein_GlgD,_glucose-1-phosphate_adenylyltransferase_family_"	FIG00002944	"Glycogen_biosynthesis_protein_GlgD,_glucose-1-phosphate_adenylyltransferase_family_"	3973.8	1131.8	1545.1	12516.8	1705.5	5524.6	29225	7877	4622.6	5159.4	6663	0.094984726	0.639399382	2.434175834
FIG01960969_Alpha-ribazole-5'-phosphate_phosphatase_(EC_3.1.3.73)_	FIG01960969	Alpha-ribazole-5'-phosphate_phosphatase_(EC_3.1.3.73)_	0	9.5	4.7	0	2.9	88.3	0	0	2	0	9.3	0.095036967	0.639399382	-7.772861357
FIG01336128_FIG00412396:_hypothetical_protein_	FIG01336128	FIG00412396:_hypothetical_protein_	44.9	120	42.3	5.5	40.3	306.7	0	0	75.5	8.3	15.5	0.095106584	0.639495738	-4.697045989
"FIG01123142_regulatory_protein,_LacI_"	FIG01123142	"regulatory_protein,_LacI_"	10.1	8.6	77.6	2.2	13.4	762.3	62.9	10.3	59.6	11	21.7	0.095319877	0.639813967	-4.401812689
FIG00024073_Galactokinase_(EC_2.7.1.6)_	FIG00024073	Galactokinase_(EC_2.7.1.6)_	2557.1	705.3	993.8	6207	1316.4	6742.7	19320.1	5045.6	4894.7	3054.5	5705.4	0.095237081	0.639813967	2.463212452
FIG01313118_Germination_(Cortex_hydrolysis)_and_sporulation_protein_GerM_	FIG01313118	Germination_(Cortex_hydrolysis)_and_sporulation_protein_GerM_	213	0	0	32.9	1.5	0	0	0	0	0	27.9	0.095291176	0.639813967	-7.38948626
FIG00526317_FIG00526319:_hypothetical_protein_	FIG00526317	FIG00526319:_hypothetical_protein_	8.3	10.5	9.3	2.2	30.6	460.1	4.5	2.6	21.8	12.3	49.6	0.09548796	0.640570407	-4.781571219
FIG01361622_GTP_cyclohydrolase_III_(methanopterin)_	FIG01361622	GTP_cyclohydrolase_III_(methanopterin)_	0	0	0	3.3	0	0	4.5	0	13.9	4.1	0	0.095721697	0.641431368	8.181818182
"FIG00043763_Inactive_homolog_of_metal-dependent_proteases,_putative_molecular_chaperone_/_Ribosomal-protein-S18p-alanine_acetyltransferase_(EC_2.3.1.-)_"	FIG00043763	"Inactive_homolog_of_metal-dependent_proteases,_putative_molecular_chaperone_/_Ribosomal-protein-S18p-alanine_acetyltransferase_(EC_2.3.1.-)_"	1.7	2.1	7	1.1	26.1	181.3	4.5	0	0	6.9	18.6	0.095767892	0.641431368	-6.091666667
FIG00495914_FIG00938133:_hypothetical_protein_	FIG00495914	FIG00938133:_hypothetical_protein_	5.1	28.5	51.6	3.3	79.1	548.5	13.5	5.2	25.9	32.9	62	0.095782686	0.641431368	-4.277777778
FIG00000216_LSU_ribosomal_protein_L20p_	FIG00000216	LSU_ribosomal_protein_L20p_	2459.9	2434.7	2090.5	4313.2	2053.7	11552	29992.9	3688.1	8974.9	3755	3892.5	0.095969888	0.641941591	2.423870864
FIG00519041_FIG00519044:_hypothetical_protein_	FIG00519041	FIG00519044:_hypothetical_protein_	0	0	5.5	0	8.2	106.9	4.5	2.6	6	0	0	0.095916795	0.641941591	-7.671755725
FIG00521176_fructose_response_regulator_of_fruA_and_EII_fructose/mannose_	FIG00521176	fructose_response_regulator_of_fruA_and_EII_fructose/mannose_	101.6	31.6	14.1	8.8	2.2	60.3	0	5.2	19.9	5.4	6.2	0.096173858	0.642191673	-4.963669391
"FIG00002321_Galactose-6-phosphate_isomerase,_LacA_subunit_(EC_5.3.1.26)_"	FIG00002321	"Galactose-6-phosphate_isomerase,_LacA_subunit_(EC_5.3.1.26)_"	1.7	3.2	0.8	2.2	2.2	18.5	44.9	54.3	0	0	31	0.096136922	0.642191673	5.462937063
FIG00517508_RIKEN_cDNA_6330442E10_gene_	FIG00517508	RIKEN_cDNA_6330442E10_gene_	0	1.1	18.8	2.2	1.5	116.2	4.5	0	11.9	0	0	0.096117828	0.642191673	-7.103658537
FIG00939637_FIG00939638:_hypothetical_protein_	FIG00939637	FIG00939638:_hypothetical_protein_	213.2	14.8	99.5	490.7	42.5	543.8	951.4	682.6	196.8	188	1475	0.096269487	0.642459288	2.98509078
FIG01348999_VirK_	FIG01348999	VirK_	0	0	0	0	2.2	120.9	0	0	2	1.4	9.3	0.096914335	0.642647153	-8.077427822
FIG01661491_FIG00937492:_hypothetical_protein_	FIG01661491	FIG00937492:_hypothetical_protein_	0	1.1	5.5	0	0	51.1	0	0	2	2.7	0	0.096997273	0.642647153	-10.23049645
"FIG01633864_COG0842:_ABC-type_multidrug_transport_system,_permease_component_"	FIG01633864	"COG0842:_ABC-type_multidrug_transport_system,_permease_component_"	0	0	0	1.1	1.5	102.3	4.5	0	0	0	6.2	0.096447426	0.642647153	-8.169781931
FIG00514333_FIG00514334:_hypothetical_protein_	FIG00514333	FIG00514334:_hypothetical_protein_	3.3	0	8.6	1.1	10.4	144.1	0	0	4	0	15.5	0.096915708	0.642647153	-7.158119658
FIG01309193_Methyltransferase_	FIG01309193	Methyltransferase_	0	2.1	1.6	1.1	0.7	4.6	0	0	0	1.4	0	0.096766589	0.642647153	-6.011904762
FIG01131122_binding-protein-dependent_transport_protein_	FIG01131122	binding-protein-dependent_transport_protein_	28.3	5.3	1.6	7.7	8.2	18.5	85.3	44	10	49.4	46.5	0.096803122	0.642647153	4.055172414
FIG00712237_Modification_methylase_EcoRV_(EC_2.1.1.72)_(Adenine-specific_methyltransferase_EcoRV)_(M.EcoRV)_	FIG00712237	Modification_methylase_EcoRV_(EC_2.1.1.72)_(Adenine-specific_methyltransferase_EcoRV)_(M.EcoRV)_	0	0	1.6	0	0	0	0	0	15.9	0	0	0.097020008	0.642647153	11.925
FIG01738981_Archaea-specific_Superfamily_II_helicase_MJ1401_	FIG01738981	Archaea-specific_Superfamily_II_helicase_MJ1401_	0	0	0	0	1.5	0	0	0	7.9	6.9	0	0.096473982	0.642647153	11.84
FIG01055146_FIG01055147:_hypothetical_protein_	FIG01055146	FIG01055147:_hypothetical_protein_	16.6	0	0.8	304.5	8.9	60.4	22.5	25.9	6	1.4	12.4	0.096580959	0.642647153	-4.780058651
FIG00897180_FIG00897181:_hypothetical_protein_	FIG00897180	FIG00897181:_hypothetical_protein_	3.3	6.3	0.8	0	20.1	13.9	0	0	0	4.1	0	0.096821726	0.642647153	-9.024390244
FIG00661484_Flavoprotein_	FIG00661484	Flavoprotein_	2542.1	470.1	1918.6	8018.3	706.1	4670.4	23430.6	3656.7	5103.4	1258.4	5466.7	0.096908812	0.642647153	2.548290915
FIG01320820_Microsomal_dipeptidase_precursor_(EC_3.4.13.19)_	FIG01320820	Microsomal_dipeptidase_precursor_(EC_3.4.13.19)_	13.3	0	1.6	11	10.4	32.5	134.6	44	6	6.9	55.8	0.096587419	0.642647153	4.313372093
FIG00003614_Autoinducer_2_(AI-2)_modifying_protein_LsrG_	FIG00003614	Autoinducer_2_(AI-2)_modifying_protein_LsrG_	0	2.1	0	0	0	0	0	0	15.9	0	0	0.097011658	0.642647153	9.085714286
"FIG00936845_Integrase,_site-specific_recombinase_"	FIG00936845	"Integrase,_site-specific_recombinase_"	3019.4	804.5	1780.8	7736.5	1620.8	14255.5	28308.5	6384.6	12629.2	4262	7706.9	0.097215404	0.643440893	2.435165226
FIG00937407_FIG00937408:_hypothetical_protein_	FIG00937407	FIG00937408:_hypothetical_protein_	213	63.3	199.7	500.7	254.3	1068.9	2719.5	807	524.6	537.8	650.9	0.097256193	0.643440893	2.733927562
FIG01291434_Phosphoesterase_domain_of_DHH_family_/_Phosphoglycolate_phosphatase_(EC_3.1.3.18)_	FIG01291434	Phosphoesterase_domain_of_DHH_family_/_Phosphoglycolate_phosphatase_(EC_3.1.3.18)_	6.7	0	1.6	8.8	0	51	49.4	64.7	2	0	176.6	0.097306746	0.643440893	5.157709251
"FIG01508617_Glyceraldehyde-3-phosphate_dehydrogenase,_putative_"	FIG01508617	"Glyceraldehyde-3-phosphate_dehydrogenase,_putative_"	0	0	1.6	0	0	0	0	0	11.9	2.7	0	0.097369521	0.643488073	10.95
FIG00533327_FIG00533332:_hypothetical_protein_	FIG00533327	FIG00533332:_hypothetical_protein_	3.3	5.3	0.8	15.3	17.2	9.3	62.8	36.2	13.9	76.8	0	0.098177216	0.645667834	4.44609375
FIG01571269_putative_Phosphoglycerate/bisphosphoglycerate_mutase_	FIG01571269	putative_Phosphoglycerate/bisphosphoglycerate_mutase_	0	0	0	4.4	0	4.6	0	20.7	19.9	0	15.5	0.098257633	0.645667834	7.48
FIG00032670_Biosynthetic_Aromatic_amino_acid_aminotransferase_beta_(EC_2.6.1.57)_	FIG00032670	Biosynthetic_Aromatic_amino_acid_aminotransferase_beta_(EC_2.6.1.57)_	0	0	5.5	0	45.5	65.1	4.5	0	6	2.7	0	0.097994633	0.645667834	-7.329545455
FIG00559490_Modification_methylase_AccI_(EC_2.1.1.72)_(Adenine-specific_methyltransferase_AccI)_(M.AccI)_	FIG00559490	Modification_methylase_AccI_(EC_2.1.1.72)_(Adenine-specific_methyltransferase_AccI)_(M.AccI)_	38.3	11.6	5.5	3.3	17.8	729.7	0	5.2	87.5	35.6	12.4	0.097769443	0.645667834	-4.77493485
FIG01675714_Predicted_Phage-related_amidase_	FIG01675714	Predicted_Phage-related_amidase_	0	0	0	0	0.7	0	4.5	0	0	0	3.1	0.0981939	0.645667834	13.02857143
FIG00015231_Inhibitor_of_pro-sigmaK_processing_BofA_	FIG00015231	Inhibitor_of_pro-sigmaK_processing_BofA_	0	0	0.8	0	2.2	23.2	0	0	2	0	0	0.098230627	0.645667834	-10.91666667
FIG00678623_Glycosyltransferase_	FIG00678623	Glycosyltransferase_	53.3	23.2	7	7.7	0.7	37.2	0	0	13.9	0	3.1	0.098245665	0.645667834	-6.328431373
FIG00515261_Spore_coat_protein_cotS_related_	FIG00515261	Spore_coat_protein_cotS_related_	0	0	0.8	0	0	0	0	0	0	4.1	3.1	0.09820759	0.645667834	10.8
FIG00553873_Putative_oxidoreductase_	FIG00553873	Putative_oxidoreductase_	10.1	3.2	6.3	5.5	6.6	69.5	0	0	4	2.8	6.2	0.097951635	0.645667834	-6.487179487
FIG00525404_FIG00525406:_hypothetical_protein_	FIG00525404	FIG00525406:_hypothetical_protein_	5	0	0	0	7.5	0	0	0	0	1.4	0	0.097924115	0.645667834	-7.44047619
FIG00000841_Glutathione_reductase_(EC_1.8.1.7)_	FIG00000841	Glutathione_reductase_(EC_1.8.1.7)_	1.7	2.1	1.6	2.2	5.2	37.1	0	0	2	0	3.1	0.098532768	0.647108113	-8.153594771
FIG00938093_Acyltransferase_family_protein_	FIG00938093	Acyltransferase_family_protein_	248.1	46.4	74.5	708.6	141.7	548.5	1831.1	677.5	655.9	363.7	557.8	0.098590057	0.647116887	2.773616925
FIG00011272_Prolyl_endopeptidase_(EC_3.4.21.26)_	FIG00011272	Prolyl_endopeptidase_(EC_3.4.21.26)_	0	1.1	1.6	5.5	0.7	4.6	13.5	5.2	25.8	1.4	27.9	0.099106188	0.64939895	6.56
FIG01116174_FIG01116176:_hypothetical_protein_	FIG01116174	FIG01116176:_hypothetical_protein_	1.7	1.1	0	0	1.5	0	9	7.8	0	0	15.5	0.099083835	0.64939895	9.013953488
FIG01326599_putative_DNA-binding_protein_	FIG01326599	putative_DNA-binding_protein_	53.3	16.8	15.6	35	42.4	743.7	9	12.9	71.6	23.2	74.4	0.099036433	0.64939895	-3.954299669
"FIG00012945_Ribose_ABC_transport_system,_permease_protein_RbsC_(TC_3.A.1.2.1)_"	FIG00012945	"Ribose_ABC_transport_system,_permease_protein_RbsC_(TC_3.A.1.2.1)_"	211.5	104.5	230.3	416.3	246	1319.5	3541.2	633.6	355.7	337.5	939.1	0.0992015	0.649618535	2.756425774
FIG01474922_FIG00408357:_hypothetical_protein_	FIG01474922	FIG00408357:_hypothetical_protein_	0	0	3.1	0	6	27.9	0	2.6	0	0	0	0.099252039	0.649618535	-11.85897436
FIG01064339_Sodium:alanine_symporter_	FIG01064339	Sodium:alanine_symporter_	0	9.6	17.2	0	18.6	283.5	9	0	18	6.9	15.5	0.099915858	0.651382856	-5.548245614
"FIG01529917_helicase,_SNF2/RAD54_family_"	FIG01529917	"helicase,_SNF2/RAD54_family_"	59.9	1.1	12.5	65.7	3.7	37.1	0	5.2	4	8.2	12.4	0.099825565	0.651382856	-5.033557047
FIG00000266_LSU_ribosomal_protein_L28p_	FIG00000266	LSU_ribosomal_protein_L28p_	1513.1	203.5	719.7	2950.4	586.2	1612.5	11210.3	1228.2	2172	879.5	1063.1	0.099733964	0.651382856	2.618677987
FIG00945825_sodium:alanine_symporter_family_protein_	FIG00945825	sodium:alanine_symporter_family_protein_	0	0	0	1.1	0	0	0	0	0	1.4	6.2	0.099914809	0.651382856	8.290909091
FIG00856882_Ferrichrome_transport_ATP-binding_protein_fhuA_(TC_1.B.14.1.4)_	FIG00856882	Ferrichrome_transport_ATP-binding_protein_fhuA_(TC_1.B.14.1.4)_	0	1.1	4.7	0	10.4	18.6	0	0	0	0	3.1	0.099774089	0.651382856	-9.35483871
FIG01279159_Nicotinate-nucleotide_adenylyltransferase_(EC_2.7.7.18)_	FIG01279159	Nicotinate-nucleotide_adenylyltransferase_(EC_2.7.7.18)_	53.4	7.5	34.5	129.3	46.1	246.2	749.5	173.3	143.1	71.4	210.7	0.099896996	0.651382856	3.128820116
"FIG01479441_iron(III)_ABC_transporter,_ATP-binding_protein,_putative_"	FIG01479441	"iron(III)_ABC_transporter,_ATP-binding_protein,_putative_"	0	0	3.1	0	3	18.6	0	0	2	0	0	0.099820667	0.651382856	-10.29166667
FIG00000092_LSU_ribosomal_protein_L31p_	FIG00000092	LSU_ribosomal_protein_L31p_	965.4	681.2	794.2	2247.4	864.1	2937.4	8418.8	1329.3	3978.5	1861.8	1844	0.100027299	0.651741992	2.464030531
FIG01834098_Type_I_restriction_enzyme_m_protein_(EC_2.1.1.72)_	FIG01834098	Type_I_restriction_enzyme_m_protein_(EC_2.1.1.72)_	0	0	0	6.6	0	0	31.5	0	6	0	9.3	0.100130396	0.652046387	8.509090909
FIG00576851_FIG00576854:_hypothetical_protein_	FIG00576851	FIG00576854:_hypothetical_protein_	0	0	0	1.1	0	4.6	18	0	0	5.5	15.5	0.100272457	0.652604025	8.210526316
FIG00534672_FIG00534673:_hypothetical_protein_	FIG00534672	FIG00534673:_hypothetical_protein_	1.7	2.1	2.3	9.9	2.2	9.3	53.9	28.4	2	8.2	18.6	0.100461065	0.653096488	4.848
FIG01055282_FIG01055283:_hypothetical_protein_	FIG01055282	FIG01055283:_hypothetical_protein_	0	0	0	4.4	1.4	41.8	0	2.6	0	1.4	0	0.100451126	0.653096488	-9.916666667
FIG01060580_Protein_of_unknown_function_DUF467_	FIG01060580	Protein_of_unknown_function_DUF467_	0	1.1	0	0	0.7	0	0	0	7.9	0	6.2	0.100560153	0.653373387	9.4
FIG00519384_Membrane_dipeptidase(_EC:3.4.13.19_)_	FIG00519384	Membrane_dipeptidase(_EC:3.4.13.19_)_	21.7	1.1	3.9	11	7.4	167.3	9	2.6	11.9	0	9.3	0.100756157	0.653511055	-5.396341463
FIG01752594_transposase_IS200-like_protein_	FIG01752594	transposase_IS200-like_protein_	5	1.1	3.9	3.3	5.9	79	0	2.6	0	5.5	3.1	0.100873596	0.653511055	-7.306547619
FIG01310998_Ribosomal-protein-alanine_acetyltransferase_(EC_2.3.1.128)_	FIG01310998	Ribosomal-protein-alanine_acetyltransferase_(EC_2.3.1.128)_	6.7	5.3	3.9	0	5.9	4.6	53.9	0	47.7	1.4	15.5	0.101242043	0.653511055	5.386363636
FIG00816822_FIG01121218:_hypothetical_protein_	FIG00816822	FIG01121218:_hypothetical_protein_	0	2.1	0	1.1	0	9.3	0	0	0	1.4	0	0.10127167	0.653511055	-7.44047619
FIG00938893_FIG00938894:_hypothetical_protein_	FIG00938893	FIG00938894:_hypothetical_protein_	89.9	8.4	20.4	308.9	72.4	283.5	1059.1	204.3	262.3	263.4	189.1	0.101189057	0.653511055	3.029789407
FIG01696617_Protein_of_unknown_function_DUF1121_	FIG01696617	Protein_of_unknown_function_DUF1121_	0	0	0	0	0	27.8	0	0	2	0	0	0.100866815	0.653511055	-11.58333333
FIG01615209_FIG01085635:_hypothetical_protein_	FIG01615209	FIG01085635:_hypothetical_protein_	1.7	0	0	1.1	0	9.3	0	0	0	1.4	0	0.101274473	0.653511055	-7.202380952
FIG01280521_Outer_membrane_protein_X_precursor_	FIG01280521	Outer_membrane_protein_X_precursor_	5	4.2	0	20.8	0	23.2	0	5.2	0	0	0	0.101315924	0.653511055	-8.525641026
FIG00139739_Lipopolysaccharide_biosynthesis_protein_WzxC_	FIG00139739	Lipopolysaccharide_biosynthesis_protein_WzxC_	103.4	74	821.6	102	190.9	2700.4	435.4	38.9	125.2	129	310	0.10096786	0.653511055	-3.20357888
FIG01424767_RloF_	FIG01424767	RloF_	0	1.1	18	0	1.5	153.4	4.5	0	15.9	1.4	0	0.100863681	0.653511055	-6.651376147
"FIG01303527_Potassium_uptake_protein,_integral_membrane_component,_KtrA_"	FIG01303527	"Potassium_uptake_protein,_integral_membrane_component,_KtrA_"	379.9	247.2	459.1	1154.7	386.8	4149	11152.6	1233.7	860.8	742.5	1435	0.101270557	0.653511055	2.731347116
FIG01956176_Biotin_operon_repressor_/_Biotin-protein_ligase_(EC_6.3.4.15)_	FIG01956176	Biotin_operon_repressor_/_Biotin-protein_ligase_(EC_6.3.4.15)_	11.7	74.8	21.1	40.5	14.8	143.9	278.3	165.6	180.9	20.6	195.3	0.101004352	0.653511055	3.288265971
FIG00764564_hydrolase_	FIG00764564	hydrolase_	0	0	0	2.2	0.7	9.3	0	0	0	1.4	0	0.101271912	0.653511055	-7.261904762
"FIG01369989_Peptidase,_S41_family_"	FIG01369989	"Peptidase,_S41_family_"	46.6	8.4	3.1	2.2	5.2	125.5	9	0	15.9	1.4	3.1	0.101538976	0.654358976	-5.4138322
FIG01499652_FIG028593:_membrane_protein_	FIG01499652	FIG028593:_membrane_protein_	1.7	1.1	2.3	0	1.5	4.6	44.9	0	13.9	0	6.2	0.101560539	0.654358976	6.964285714
FIG01613524_FIG00897781:_hypothetical_protein_	FIG01613524	FIG00897781:_hypothetical_protein_	1.7	6.3	26.6	2.2	332.8	251	22.4	5.2	55.7	13.7	21.7	0.101692275	0.654842941	-4.356922213
FIG00657191_FIG00653041:_hypothetical_protein_	FIG00657191	FIG00653041:_hypothetical_protein_	0	4.2	22.7	0	3	60.4	0	0	6	1.4	3.1	0.101809677	0.655234116	-7.166666667
FIG00529228_FIG00529230:_hypothetical_protein_	FIG00529228	FIG00529230:_hypothetical_protein_	16.6	46.3	5.5	13.1	44.8	9.3	170.5	33.6	2	220.9	6.2	0.101897422	0.655367874	3.833628319
FIG00009593_Phosphoglycerate_mutase_family_5_	FIG00009593	Phosphoglycerate_mutase_family_5_	0	0	7	0	17.9	209.2	0	0	13.9	6.9	9.3	0.101943794	0.655367874	-6.481173865
FIG01230172_conserved_hypothetical_protein_YbdO_	FIG01230172	conserved_hypothetical_protein_YbdO_	0	1.1	14.1	0	40.3	0	0	2.6	2	0	0	0.102373387	0.655578714	-10.05434783
FIG00795562_UPF0235_protein_MJ0618_	FIG00795562	UPF0235_protein_MJ0618_	0	0	0	1.1	0.7	0	0	0	2	0	12.4	0.102125283	0.655578714	9.6
FIG01693795_predicted_acyl_dehydratase_	FIG01693795	predicted_acyl_dehydratase_	0	6.3	3.9	1.1	0	13.9	0	0	11.9	43.9	68.2	0.102307046	0.655578714	5.904761905
"FIG00936929_Putative_phosphate_ABC_transporter,_phosphate-binding_component_"	FIG00936929	"Putative_phosphate_ABC_transporter,_phosphate-binding_component_"	607.7	75.9	268.7	1252	403.7	2305.6	5762.2	1468.9	1112.9	1163.5	1301.6	0.102351305	0.655578714	2.639799739
FIG00000004_3-ketoacyl-CoA_thiolase_(EC_2.3.1.16)_@_Acetyl-CoA_acetyltransferase_(EC_2.3.1.9)_	FIG00000004	3-ketoacyl-CoA_thiolase_(EC_2.3.1.16)_@_Acetyl-CoA_acetyltransferase_(EC_2.3.1.9)_	3.3	2.1	0	1.1	0	4.6	0	0	0	1.4	0	0.102261948	0.655578714	-6.607142857
FIG00525178_FIG00525180:_hypothetical_protein_	FIG00525178	FIG00525180:_hypothetical_protein_	0	1.1	2.3	0	2.9	4.6	0	0	0	1.4	0	0.102284331	0.655578714	-6.488095238
FIG00008752_ComF_operon_protein_C_	FIG00008752	ComF_operon_protein_C_	5	4.2	5.4	966	5.2	102.2	13.5	33.6	29.8	81	62	0.102262852	0.655578714	-4.123086251
FIG01020186_FIG01020189:_hypothetical_protein_	FIG01020186	FIG01020189:_hypothetical_protein_	66.6	0	3.9	48.2	3	88.2	179.5	333.7	6	8.2	161.1	0.102718053	0.657421868	3.936160076
FIG00567755_FIG028593:_membrane_protein_	FIG00567755	FIG028593:_membrane_protein_	0	1.1	0.8	0	0	0	0	2.6	0	6.9	3.1	0.102895117	0.658141045	7.957894737
FIG01425487_mobilization/transfer_protein_	FIG01425487	mobilization/transfer_protein_	30	7.5	58	4.4	135.1	1161.9	18	5.2	25.9	11	220	0.102944233	0.658141045	-4.155956206
FIG01394929_cyclase_family_protein_	FIG01394929	cyclase_family_protein_	1.7	1.1	7	0	14.1	283.5	9	0	4	8.3	24.8	0.10337114	0.659955849	-5.556760665
FIG00523834_FIG00523838:_hypothetical_protein_	FIG00523834	FIG00523838:_hypothetical_protein_	0	2.1	14.1	0	1.4	51	4.5	0	2	1.4	0	0.103428811	0.659955849	-7.23628692
FIG00001168_Acetylornithine_aminotransferase_(EC_2.6.1.11)_	FIG00001168	Acetylornithine_aminotransferase_(EC_2.6.1.11)_	8471.8	7546.3	2097.9	3762.8	5528.9	10646.9	2316.4	2141.6	3992.7	1782.2	3375.1	0.103574499	0.659955849	-2.330406134
"FIG00501923_N-Acetyl-D-glucosamine_ABC_transport_system,_permease_protein_2_"	FIG00501923	"N-Acetyl-D-glucosamine_ABC_transport_system,_permease_protein_2_"	671.2	382.6	722.1	1379.1	506.6	2299.6	5619.4	1562.3	2498.2	545	2206.5	0.103627544	0.659955849	2.502462591
"FIG00080072_transmembrane_protein,_distant_homology_with_ydbT_"	FIG00080072	"transmembrane_protein,_distant_homology_with_ydbT_"	5	1.1	2.3	3.3	2.2	13.9	67.3	2.6	0	6.9	40.3	0.103469756	0.659955849	5.054676259
FIG00068727_NADH-ubiquinone_oxidoreductase_chain_L_(EC_1.6.5.3)_	FIG00068727	NADH-ubiquinone_oxidoreductase_chain_L_(EC_1.6.5.3)_	463.3	107.4	308.1	661.7	310.9	2156.4	5349.6	1042	556.7	970	979.4	0.103558886	0.659955849	2.664114976
FIG00005893_ATPase_component_STY3233_of_energizing_module_of_queuosine-regulated_ECF_transporter_	FIG00005893	ATPase_component_STY3233_of_energizing_module_of_queuosine-regulated_ECF_transporter_	1.7	0	0	1.1	0	0	4.5	2.6	0	2.7	9.3	0.103597227	0.659955849	8.185714286
FIG00938841_FIG00938842:_hypothetical_protein_	FIG00938841	FIG00938842:_hypothetical_protein_	3.3	1.1	0	9.9	9	0	62.8	10.3	0	13.7	18.6	0.103714159	0.660143942	5.42832618
FIG00897665_FIG00897667:_hypothetical_protein_	FIG00897665	FIG00897667:_hypothetical_protein_	1.7	2.1	2.3	2.2	17.2	153.4	4.5	0	0	1.4	18.6	0.103904894	0.660994192	-6.085034014
"FIG00014990_Similar_to_ribosomal_large_subunit_pseudouridine_synthase_D,_Bacillus_subtilis_YjbO_type_"	FIG00014990	"Similar_to_ribosomal_large_subunit_pseudouridine_synthase_D,_Bacillus_subtilis_YjbO_type_"	1.7	7.4	3.9	1.1	2.2	32.5	4.5	0	0	1.4	0	0.104199638	0.662504802	-6.892655367
FIG01757981_alpha/beta_superfamily_hydrolase_	FIG01757981	alpha/beta_superfamily_hydrolase_	3.3	4.2	5.5	2.2	25.4	13.9	0	2.6	0	2.7	0	0.104423869	0.662518678	-8.56918239
FIG00137002_Energy_conserving_hydrogenase_Eha-associated_regulator_	FIG00137002	Energy_conserving_hydrogenase_Eha-associated_regulator_	0	0	0	0	1.5	0	0	0	0	15.1	0	0.104407024	0.662518678	12.08
FIG01328688_Metal-dependent_hydrolase/cyclase_	FIG01328688	Metal-dependent_hydrolase/cyclase_	3.3	0	0	4.4	0	0	0	0	0	0	49.6	0.104430961	0.662518678	7.72987013
FIG00534060_FIG00534067:_hypothetical_protein_	FIG00534060	FIG00534067:_hypothetical_protein_	258	58.9	27.4	360.3	118.7	111.6	942.4	305.1	172.9	787.6	52.7	0.104259343	0.662518678	2.901743502
FIG01228320_Predicted_exonuclease_	FIG01228320	Predicted_exonuclease_	1.7	0	1.6	7.7	0	79	0	2.6	0	1.4	6.2	0.104490949	0.662535816	-7.352941176
FIG01677548_FIG00529177:_hypothetical_protein_	FIG01677548	FIG00529177:_hypothetical_protein_	1.7	0	16.5	0	10.4	116.2	0	0	0	1.4	15.5	0.105323246	0.663493175	-7.140039448
"FIG00649872_liver_stage_antigen,_putative_"	FIG00649872	"liver_stage_antigen,_putative_"	0	1.1	0	0	0.7	120.9	0	0	608.1	2.7	0	0.104997864	0.663493175	5.973594132
"FIG01198032_Transcriptional_regulators,_LysR_family_"	FIG01198032	"Transcriptional_regulators,_LysR_family_"	1.7	0	4.7	0	3	41.8	0	2.6	2	0	0	0.104756853	0.663493175	-9.275362319
FIG00715305_Formyl-coenzyme_A_transferase_(EC_2.8.3.16)_	FIG00715305	Formyl-coenzyme_A_transferase_(EC_2.8.3.16)_	6.7	1.1	0	26.3	2.2	32.5	0	160.3	0	1.4	130.2	0.104890976	0.663493175	5.09127907
FIG00938267_FIG00938268:_hypothetical_protein_	FIG00938267	FIG00938268:_hypothetical_protein_	1.7	22.2	28.3	0	17.9	1389.7	31.5	5.2	51.7	65.9	117.8	0.104964685	0.663493175	-4.4707828
