FIGFAMID,Level1,Level2,Level3,function
FIG00146664,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Threonine_and_Homoserine_Biosynthesis,Predicted___functional___analog___of___homoserine___kinase
FIG00147619,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_and_Serine_Utilization,Serine___hydroxymethyltransferase
FIG00147619,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_Biosynthesis,Serine___hydroxymethyltransferase
FIG00147619,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Serine_Biosynthesis,Serine___hydroxymethyltransferase
FIG00149452,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Alanine_biosynthesis,Cysteine___desulfurase___CsdA-CsdE
FIG00183535,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,HMG_CoA_Synthesis,Methylcrotonyl-CoA___carboxylase___biotin-containing___subunit
FIG00183535,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Leucine_Degradation_and_HMG-CoA_Metabolism,Methylcrotonyl-CoA___carboxylase___biotin-containing___subunit
FIG00229198,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Alanine_biosynthesis,Cysteine___desulfurase
FIG00229199,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Alanine_biosynthesis,Cysteine___desulfurase
FIG00229246,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Urea_decomposition,Allophanate___hydrolase
FIG00229247,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Urea_decomposition,Urea___carboxylase
FIG00229257,Amino___Acids___and___Derivatives,Histidine___Metabolism,Histidine_Biosynthesis,Histidinol-phosphatase
FIG00341164,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics-comma_PABA-comma_anthranilate-comma_3-hydroxyanthranilate_and_more,Anthranilate___synthase-comma___aminase___component
FIG00341164,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics-comma_PABA-comma_anthranilate-comma_3-hydroxyanthranilate_and_more,Para-aminobenzoate___synthase-comma___aminase___component
FIG00341164,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Tryptophan_synthesis,Anthranilate___synthase-comma___aminase___component
FIG00341289,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Chorismate_Synthesis,Prephenate___dehydratase
FIG00341289,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Phenylalanine_and_Tyrosine_Branches_from_Chorismate,Prephenate___dehydratase
FIG00432464,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Threonine_degradation,low-specificity___D-threonine___aldolase
FIG00458455,Amino___Acids___and___Derivatives,Proline___and___4-hydroxyproline,Proline-comma_4-hydroxyproline_uptake_and_utilization,L-Proline/Glycine___betaine___transporter___ProP
FIG00470735,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Cysteine_Biosynthesis,Cysteine___synthase
FIG00470735,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Cysteine_Biosynthesis,Cysteine___synthase___B
FIG00470735,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Biosynthesis,Cysteine___synthase
FIG00513090,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Cysteine_Biosynthesis,Sulfate___and___thiosulfate___import___ATP-binding___protein___CysA
FIG00553873,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Polyamine_Metabolism,Agmatine/putrescine___antiporter-comma___associated___with___agmatine___catabolism
FIG00606262,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Ketoisovalerate_oxidoreductase,Transcriptional___regulator-comma___Hth-3___family
FIG00613966,Amino___Acids___and___Derivatives,Proline___and___4-hydroxyproline,Proline-comma_4-hydroxyproline_uptake_and_utilization,L-Proline/Glycine___betaine___transporter___ProP
FIG00621114,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Bacilysin_biosynthesis,Bacilysin___biosynthesis___oxidoreductase___BacC
FIG00621925,Amino___Acids___and___Derivatives,Proline___and___4-hydroxyproline,Proline-comma_4-hydroxyproline_uptake_and_utilization,Predicted___regulator___PutR___for___proline___utilization-comma___GntR___family
FIG00660211,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_and_Ornithine_Degradation,N-carbamoylputrescine___amidase___(3
FIG00660211,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Polyamine_Metabolism,N-carbamoylputrescine___amidase___(3
FIG00664812,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Isoleucine_degradation,3-ketoacyl-CoA___thiolase
FIG00673062,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics-comma_PABA-comma_anthranilate-comma_3-hydroxyanthranilate_and_more,Anthranilate___synthase-comma___amidotransferase___component
FIG00673062,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics-comma_PABA-comma_anthranilate-comma_3-hydroxyanthranilate_and_more,Para-aminobenzoate___synthase-comma___amidotransferase___component
FIG00673062,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Tryptophan_synthesis,Anthranilate___synthase-comma___amidotransferase___component
FIG00673062,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Tryptophan_synthesis,Para-aminobenzoate___synthase-comma___amidotransferase___component
FIG00719736,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Phenylalanine_and_Tyrosine_Branches_from_Chorismate,Biosynthetic___Aromatic___amino___acid___aminotransferase___beta
FIG00719736,Amino___Acids___and___Derivatives,Glutamine-comma___glutamate-comma___aspartate-comma___asparagine;___ammonia___assimilation,Glutamine-comma_Glutamate-comma_Aspartate_and_Asparagine_Biosynthesis,Aspartate___aminotransferase
FIG00719736,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Biosynthesis,Cystathionine___beta-lyase
FIG00719736,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Threonine_and_Homoserine_Biosynthesis,Aspartate___aminotransferase
FIG00731583,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Lysine_degradation,L-lysine___permease
FIG00744535,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Polyamine_Metabolism,Putrescine___transport___ATP-binding___protein___PotA___(TC___3
FIG00745843,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_cleavage_system,Sodium/glycine___symporter___GlyP
FIG00755081,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_and_Serine_Utilization,Cystathionine___gamma-lyase
FIG00755081,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Cysteine_Biosynthesis,Cystathionine___gamma-lyase
FIG00755081,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Biosynthesis,Cystathionine___beta-lyase
FIG00755081,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Biosynthesis,Cystathionine___gamma-lyase
FIG00755081,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Degradation,Cystathionine___gamma-lyase
FIG00771520,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Polyamine_Metabolism,Putrescine___ABC___transporter___putrescine-binding___protein___PotF___(TC___3
FIG00796385,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Branched-Chain_Amino_Acid_Biosynthesis,Acetolactate___synthase___small___subunit
FIG00796618,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Lysine_Biosynthesis_DAP_Pathway,L-commaL-diaminopimelate___aminotransferase
FIG00824412,Amino___Acids___and___Derivatives,Proline___and___4-hydroxyproline,Proline-comma_4-hydroxyproline_uptake_and_utilization,Proline___iminopeptidase
FIG00896278,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Cysteine_Biosynthesis,Cys___regulon___transcriptional___activator___CysB
FIG00937303,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Ketoisovalerate_oxidoreductase,Ketoisovalerate___oxidoreductase___subunit___VorB
FIG00945653,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Valine_degradation,3-hydroxyisobutyrate___dehydrogenase
FIG00945885,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Biosynthesis,Methionine___ABC___transporter___ATP-binding___protein
FIG00945885,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Degradation,Methionine___ABC___transporter___ATP-binding___protein
FIG00954959,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_and_Ornithine_Degradation,Arginine___permease___RocE
FIG00995347,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Biosynthesis,Methionine___ABC___transporter___ATP-binding___protein
FIG00995347,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Degradation,Methionine___ABC___transporter___ATP-binding___protein
FIG01021980,Amino___Acids___and___Derivatives,Glutamine-comma___glutamate-comma___aspartate-comma___asparagine;___ammonia___assimilation,Glutamine-comma_Glutamate-comma_Aspartate_and_Asparagine_Biosynthesis,Aspartate___aminotransferase
FIG01021980,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Threonine_and_Homoserine_Biosynthesis,Aspartate___aminotransferase
FIG01064339,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_cleavage_system,Sodium/glycine___symporter___GlyP
FIG01077452,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Branched-Chain_Amino_Acid_Biosynthesis,2-isopropylmalate___synthase
FIG01077452,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Leucine_Biosynthesis,2-isopropylmalate___synthase
FIG01108996,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_cleavage_system,Glycine___cleavage___system___transcriptional___activator___GcvA
FIG01122915,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Isoleucine_degradation,3-ketoacyl-CoA___thiolase
FIG01127283,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Lysine_degradation,Saccharopine___dehydrogenase
FIG01133572,Amino___Acids___and___Derivatives,Glutamine-comma___glutamate-comma___aspartate-comma___asparagine;___ammonia___assimilation,Glutamine-comma_Glutamate-comma_Aspartate_and_Asparagine_Biosynthesis,Aspartate___aminotransferase
FIG01133572,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Threonine_and_Homoserine_Biosynthesis,Aspartate___aminotransferase
FIG01272034,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_Biosynthesis_extended,N-acetylglutamate___synthase
FIG01272192,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Cysteine_Biosynthesis,Sulfate___transport___system___permease___protein___CysW
FIG01274668,Amino___Acids___and___Derivatives,Glutamine-comma___glutamate-comma___aspartate-comma___asparagine;___ammonia___assimilation,Glutamine-comma_Glutamate-comma_Aspartate_and_Asparagine_Biosynthesis,L-asparaginase
FIG01285094,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Lysine_degradation,Lysine___decarboxylase
FIG01288927,Amino___Acids___and___Derivatives,Glutamine-comma___glutamate-comma___aspartate-comma___asparagine;___ammonia___assimilation,Glutamine-comma_Glutamate-comma_Aspartate_and_Asparagine_Biosynthesis,Aspartate___aminotransferase
FIG01288927,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Lysine_Biosynthesis_DAP_Pathway,L-commaL-diaminopimelate___aminotransferase
FIG01288927,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Threonine_and_Homoserine_Biosynthesis,Aspartate___aminotransferase
FIG01292486,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Threonine_degradation,Threonine___dehydrogenase___and___related___Zn-dependent___dehydrogenases
FIG01292786,Amino___Acids___and___Derivatives,Proline___and___4-hydroxyproline,Proline-comma_4-hydroxyproline_uptake_and_utilization,Aldehyde___dehydrogenase
FIG01294635,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Phenylalanine_and_Tyrosine_Branches_from_Chorismate,Biosynthetic___Aromatic___amino___acid___aminotransferase___beta
FIG01294635,Amino___Acids___and___Derivatives,Glutamine-comma___glutamate-comma___aspartate-comma___asparagine;___ammonia___assimilation,Glutamine-comma_Glutamate-comma_Aspartate_and_Asparagine_Biosynthesis,Aspartate___aminotransferase
FIG01294635,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Threonine_and_Homoserine_Biosynthesis,Aspartate___aminotransferase
FIG01299891,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Threonine_degradation,threonine___dehydrogenase
FIG01303734,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Alanine_biosynthesis,Cysteine___desulfurase
FIG01303827,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_and_Serine_Utilization,L-serine___dehydratase
FIG01303827,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_and_Serine_Utilization,L-serine___dehydratase___1
FIG01303827,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_and_Serine_Utilization,L-serine___dehydratase-comma___alpha___subunit
FIG01303880,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Isoleucine_degradation,Dihydrolipoamide___dehydrogenase___of___branched-chain___alpha-keto___acid___dehydrogenase
FIG01303880,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Leucine_Degradation_and_HMG-CoA_Metabolism,Dihydrolipoamide___dehydrogenase___of___branched-chain___alpha-keto___acid___dehydrogenase
FIG01303880,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Valine_degradation,Dihydrolipoamide___dehydrogenase___of___branched-chain___alpha-keto___acid___dehydrogenase
FIG01303881,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_cleavage_system,Dihydrolipoamide___dehydrogenase
FIG01303881,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Isoleucine_degradation,Dihydrolipoamide___dehydrogenase___of___branched-chain___alpha-keto___acid___dehydrogenase
FIG01303881,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Leucine_Degradation_and_HMG-CoA_Metabolism,Dihydrolipoamide___dehydrogenase
FIG01303881,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Leucine_Degradation_and_HMG-CoA_Metabolism,Dihydrolipoamide___dehydrogenase___of___branched-chain___alpha-keto___acid___dehydrogenase
FIG01303881,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Valine_degradation,Dihydrolipoamide___dehydrogenase___of___branched-chain___alpha-keto___acid___dehydrogenase
FIG01303889,Amino___Acids___and___Derivatives,Histidine___Metabolism,Histidine_Biosynthesis,Phosphoribosyl-AMP___cyclohydrolase
FIG01304134,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Leucine_Biosynthesis,Probable___transcriptional___activator___for___leuABCD___operon
FIG01304252,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Polyamine_Metabolism,Putrescine___transport___system___permease___protein___PotI___(TC___3
FIG01304252,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Polyamine_Metabolism,Spermidine___Putrescine___ABC___transporter___permease___component___potC___(TC_3
FIG01304256,Amino___Acids___and___Derivatives,Proline___and___4-hydroxyproline,Proline-comma_4-hydroxyproline_uptake_and_utilization,Proline-specific___permease___proY
FIG01304304,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Cysteine_Biosynthesis,Sulfate___permease-comma___Trk-type
FIG01304394,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Aromatic_amino_acid_degradation,5-carboxymethyl-2-oxo-hex-3-___ene-1-comma7-dioate___decarboxylase
FIG01304394,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Aromatic_amino_acid_degradation,Homoprotocatechuate___degradative___operon___repressor
FIG01304507,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Polyamine_Metabolism,Carboxynorspermidine___dehydrogenase-comma___putative
FIG01304752,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Isoleucine_degradation,phosphotransbutyrylase
FIG01304752,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Valine_degradation,phosphotransbutyrylase
FIG01304783,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Phenylalanine_and_Tyrosine_Branches_from_Chorismate,Biosynthetic___Aromatic___amino___acid___aminotransferase___alpha
FIG01304783,Amino___Acids___and___Derivatives,Histidine___Metabolism,Histidine_Biosynthesis,Histidinol-phosphate___aminotransferase
FIG01304805,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Polyamine_Metabolism,Carboxynorspermidine___decarboxylase-comma___putative
FIG01304829,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics-comma_PABA-comma_anthranilate-comma_3-hydroxyanthranilate_and_more,Anthranilate___synthase-comma___amidotransferase___component
FIG01304829,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics-comma_PABA-comma_anthranilate-comma_3-hydroxyanthranilate_and_more,Para-aminobenzoate___synthase-comma___amidotransferase___component
FIG01304829,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Tryptophan_synthesis,Anthranilate___synthase-comma___amidotransferase___component
FIG01304829,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Tryptophan_synthesis,Para-aminobenzoate___synthase-comma___amidotransferase___component
FIG01304837,Amino___Acids___and___Derivatives,Glutamine-comma___glutamate-comma___aspartate-comma___asparagine;___ammonia___assimilation,Glutamine-comma_Glutamate-comma_Aspartate_and_Asparagine_Biosynthesis,Aspartate___aminotransferase
FIG01304837,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Threonine_and_Homoserine_Biosynthesis,Aspartate___aminotransferase
FIG01304883,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Isoleucine_degradation,Dihydrolipoamide___acyltransferase___component___of___branched-chain___alpha-keto___acid___dehydrogenase___complex
FIG01304883,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Leucine_Degradation_and_HMG-CoA_Metabolism,Dihydrolipoamide___acyltransferase___component___of___branched-chain___alpha-keto___acid___dehydrogenase___complex
FIG01304883,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Valine_degradation,Dihydrolipoamide___acyltransferase___component___of___branched-chain___alpha-keto___acid___dehydrogenase___complex
FIG01305039,Amino___Acids___and___Derivatives,Histidine___Metabolism,Histidine_Biosynthesis,Histidinol-phosphate___aminotransferase
FIG01306503,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Chorismate_Synthesis,Shikimate___kinase___II
FIG01306503,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate),Shikimate___kinase___II
FIG01306996,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_and_Serine_Utilization,Glycerate___kinase
FIG01313145,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_Biosynthesis_extended,N-acetylglutamate___synthase
FIG01313819,Amino___Acids___and___Derivatives,Proline___and___4-hydroxyproline,Proline-comma_4-hydroxyproline_uptake_and_utilization,L-Proline/Glycine___betaine___transporter___ProP
FIG01313842,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Lysine_Biosynthesis_DAP_Pathway,N-acetyl-L-commaL-diaminopimelate___deacetylase
FIG01315246,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_and_Ornithine_Degradation,Lysine-arginine-ornithine-binding___periplasmic___protein___precursor___(TC___3
FIG01315246,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Phenylalanine_and_Tyrosine_Branches_from_Chorismate,Cyclohexadienyl___dehydratase
FIG01317251,Amino___Acids___and___Derivatives,Proline___and___4-hydroxyproline,Proline-comma_4-hydroxyproline_uptake_and_utilization,L-Proline/Glycine___betaine___transporter___ProP
FIG01321503,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_and_Ornithine_Degradation,Succinylglutamate___desuccinylase
FIG01323144,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Lysine_Biosynthesis_DAP_Pathway,Dihydrodipicolinate___synthase
FIG01331848,Amino___Acids___and___Derivatives,Proline___and___4-hydroxyproline,Proline-comma_4-hydroxyproline_uptake_and_utilization,Amino___acid___permease___in___4-hydroxyproline___catabolic___gene___cluster
FIG01332283,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Tryptophan_synthesis,Tryptophan___synthase___beta___chain
FIG01334566,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Lysine_degradation,Lysine___decarboxylase
FIG01340511,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Lysine_degradation,Saccharopine___dehydrogenase
FIG01345058,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Urea_decomposition,Urea___carboxylase-related___amino___acid___permease
FIG01345058,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Lysine_degradation,Lysine/cadaverine___antiporter___membrane___protein___CadB
FIG01347378,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_and_Serine_Utilization,Phosphoserine___phosphatase
FIG01347378,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Serine_Biosynthesis,Phosphoserine___phosphatase
FIG01347841,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Lysine_Biosynthesis_DAP_Pathway,2-comma3-comma4-comma5-tetrahydropyridine-2-comma6-dicarboxylate___N-acetyltransferase
FIG01350974,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Biosynthesis,Cystathionine___beta-lyase-comma___type___II
FIG01357720,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Polyamine_Metabolism,Spermidine___Putrescine___ABC___transporter___permease___component___potC___(TC_3
FIG01362950,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Lysine_degradation,Lysine/cadaverine___antiporter___membrane___protein___CadB
FIG01374894,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_cleavage_system,Sodium/glycine___symporter___GlyP
FIG01659839,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Aromatic_amino_acid_degradation,2-hydroxyhepta-2-comma4-diene-1-comma7-dioate___isomerase
FIG01691515,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Polyamine_Metabolism,Putrescine___transport___ATP-binding___protein___PotA___(TC___3
FIG01953929,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Aromatic_amino_acid_interconversions_with_aryl_acids,Indolepyruvate___oxidoreductase___subunit___IorB
FIG01955862,Amino___Acids___and___Derivatives,Glutamine-comma___glutamate-comma___aspartate-comma___asparagine;___ammonia___assimilation,Glutamine-comma_Glutamate-comma_Aspartate_and_Asparagine_Biosynthesis,Aspartate___racemase
FIG01955866,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Phenylalanine_and_Tyrosine_Branches_from_Chorismate,Chorismate___mutase
FIG01955892,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics-comma_PABA-comma_anthranilate-comma_3-hydroxyanthranilate_and_more,Isochorismatase
FIG01955972,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Lysine_degradation,Lysine___2-comma3-aminomutase
FIG01956023,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Isoleucine_degradation,Transcriptional___regulator___BkdR___of___isoleucine___and___valine___catabolism___operon
FIG01956023,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Valine_degradation,Transcriptional___regulator___BkdR___of___isoleucine___and___valine___catabolism___operon
FIG01956238,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Biosynthesis,Methionine___ABC___transporter___ATP-binding___protein
FIG01956238,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Degradation,Methionine___ABC___transporter___ATP-binding___protein
FIG01959188,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_and_Ornithine_Degradation,Biosynthetic___arginine___decarboxylase
FIG01959188,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Polyamine_Metabolism,Biosynthetic___arginine___decarboxylase
FIG01959902,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Alanine_biosynthesis,Alanine___racemase-comma___biosynthetic
FIG01960111,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics-comma_PABA-comma_anthranilate-comma_3-hydroxyanthranilate_and_more,Anthranilate___synthase-comma___aminase___component
FIG01960111,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics-comma_PABA-comma_anthranilate-comma_3-hydroxyanthranilate_and_more,Para-aminobenzoate___synthase-comma___aminase___component
FIG01960111,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Tryptophan_synthesis,Anthranilate___synthase-comma___aminase___component
FIG01960215,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics-comma_PABA-comma_anthranilate-comma_3-hydroxyanthranilate_and_more,Para-aminobenzoate___synthase-comma___aminase___component
FIG01960218,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Polyamine_Metabolism,Spermidine___Putrescine___ABC___transporter___permease___component___potC___(TC_3
